index	inv	GRIB_COMMENT	GRIB_DISCIPLINE	GRIB_ELEMENT
25	UGRD:2 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
26	VGRD:2 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
27	O3MR:2 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
28	HGT:3 mb	Geopotential height [gpm]	0(Meteorological)	HGT
29	TMP:3 mb	Temperature [C]	0(Meteorological)	TMP
30	RH:3 mb	Relative humidity [%]	0(Meteorological)	RH
31	UGRD:3 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
32	VGRD:3 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
33	O3MR:3 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
34	HGT:5 mb	Geopotential height [gpm]	0(Meteorological)	HGT
35	TMP:5 mb	Temperature [C]	0(Meteorological)	TMP
36	RH:5 mb	Relative humidity [%]	0(Meteorological)	RH
37	UGRD:5 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
38	VGRD:5 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
39	O3MR:5 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
40	HGT:7 mb	Geopotential height [gpm]	0(Meteorological)	HGT
41	TMP:7 mb	Temperature [C]	0(Meteorological)	TMP
42	RH:7 mb	Relative humidity [%]	0(Meteorological)	RH
43	UGRD:7 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
44	VGRD:7 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
45	O3MR:7 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
46	HGT:10 mb	Geopotential height [gpm]	0(Meteorological)	HGT
47	TMP:10 mb	Temperature [C]	0(Meteorological)	TMP
48	RH:10 mb	Relative humidity [%]	0(Meteorological)	RH
49	UGRD:10 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
50	VGRD:10 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
51	ABSV:10 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
52	O3MR:10 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
53	HGT:15 mb	Geopotential height [gpm]	0(Meteorological)	HGT
54	TMP:15 mb	Temperature [C]	0(Meteorological)	TMP
55	ABSV:15 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
56	O3MR:15 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
57	HGT:20 mb	Geopotential height [gpm]	0(Meteorological)	HGT
58	TMP:20 mb	Temperature [C]	0(Meteorological)	TMP
59	RH:20 mb	Relative humidity [%]	0(Meteorological)	RH
60	UGRD:20 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
61	VGRD:20 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
62	ABSV:20 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
63	O3MR:20 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
64	HGT:30 mb	Geopotential height [gpm]	0(Meteorological)	HGT
65	TMP:30 mb	Temperature [C]	0(Meteorological)	TMP
66	RH:30 mb	Relative humidity [%]	0(Meteorological)	RH
67	UGRD:30 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
68	VGRD:30 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
69	ABSV:30 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
70	O3MR:30 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
71	HGT:40 mb	Geopotential height [gpm]	0(Meteorological)	HGT
72	TMP:40 mb	Temperature [C]	0(Meteorological)	TMP
73	ABSV:40 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
74	O3MR:40 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
75	HGT:50 mb	Geopotential height [gpm]	0(Meteorological)	HGT
76	TMP:50 mb	Temperature [C]	0(Meteorological)	TMP
77	RH:50 mb	Relative humidity [%]	0(Meteorological)	RH
78	TCDC:50 mb	Total cloud cover [%]	0(Meteorological)	TCDC
79	UGRD:50 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
80	VGRD:50 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
81	ABSV:50 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
82	CLWMR:50 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
83	ICMR:50 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
84	RWMR:50 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
85	SNMR:50 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
86	GRLE:50 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
87	O3MR:50 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
88	HGT:70 mb	Geopotential height [gpm]	0(Meteorological)	HGT
89	TMP:70 mb	Temperature [C]	0(Meteorological)	TMP
90	RH:70 mb	Relative humidity [%]	0(Meteorological)	RH
91	UGRD:70 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
92	VGRD:70 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
93	ABSV:70 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
94	O3MR:70 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
95	HGT:100 mb	Geopotential height [gpm]	0(Meteorological)	HGT
96	TMP:100 mb	Temperature [C]	0(Meteorological)	TMP
97	RH:100 mb	Relative humidity [%]	0(Meteorological)	RH
98	TCDC:100 mb	Total cloud cover [%]	0(Meteorological)	TCDC
99	VVEL:100 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
100	DZDT:100 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
101	UGRD:100 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
102	VGRD:100 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
103	ABSV:100 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
104	CLWMR:100 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
105	ICMR:100 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
106	RWMR:100 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
107	SNMR:100 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
108	GRLE:100 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
109	ICSEV:100 mb	Icing severity [-]	0(Meteorological)	ICSEV
110	O3MR:100 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
111	HGT:150 mb	Geopotential height [gpm]	0(Meteorological)	HGT
112	TMP:150 mb	Temperature [C]	0(Meteorological)	TMP
113	RH:150 mb	Relative humidity [%]	0(Meteorological)	RH
114	TCDC:150 mb	Total cloud cover [%]	0(Meteorological)	TCDC
115	VVEL:150 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
116	DZDT:150 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
117	UGRD:150 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
118	VGRD:150 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
119	ABSV:150 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
120	CLWMR:150 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
121	ICMR:150 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
122	RWMR:150 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
123	SNMR:150 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
124	GRLE:150 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
125	ICSEV:150 mb	Icing severity [-]	0(Meteorological)	ICSEV
126	O3MR:150 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
127	HGT:200 mb	Geopotential height [gpm]	0(Meteorological)	HGT
128	TMP:200 mb	Temperature [C]	0(Meteorological)	TMP
129	RH:200 mb	Relative humidity [%]	0(Meteorological)	RH
130	TCDC:200 mb	Total cloud cover [%]	0(Meteorological)	TCDC
131	VVEL:200 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
132	DZDT:200 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
133	UGRD:200 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
134	VGRD:200 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
135	ABSV:200 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
136	CLWMR:200 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
137	ICMR:200 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
138	RWMR:200 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
139	SNMR:200 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
140	GRLE:200 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
141	ICSEV:200 mb	Icing severity [-]	0(Meteorological)	ICSEV
142	O3MR:200 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
143	HGT:250 mb	Geopotential height [gpm]	0(Meteorological)	HGT
144	TMP:250 mb	Temperature [C]	0(Meteorological)	TMP
145	RH:250 mb	Relative humidity [%]	0(Meteorological)	RH
146	TCDC:250 mb	Total cloud cover [%]	0(Meteorological)	TCDC
147	VVEL:250 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
148	DZDT:250 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
149	UGRD:250 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
150	VGRD:250 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
151	ABSV:250 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
152	CLWMR:250 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
153	ICMR:250 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
154	RWMR:250 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
155	SNMR:250 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
156	GRLE:250 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
157	ICSEV:250 mb	Icing severity [-]	0(Meteorological)	ICSEV
158	O3MR:250 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
159	HGT:300 mb	Geopotential height [gpm]	0(Meteorological)	HGT
160	TMP:300 mb	Temperature [C]	0(Meteorological)	TMP
161	RH:300 mb	Relative humidity [%]	0(Meteorological)	RH
162	TCDC:300 mb	Total cloud cover [%]	0(Meteorological)	TCDC
163	VVEL:300 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
164	DZDT:300 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
165	UGRD:300 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
166	VGRD:300 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
167	ABSV:300 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
168	CLWMR:300 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
169	ICMR:300 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
170	RWMR:300 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
171	SNMR:300 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
172	GRLE:300 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
173	ICSEV:300 mb	Icing severity [-]	0(Meteorological)	ICSEV
174	O3MR:300 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
175	HGT:350 mb	Geopotential height [gpm]	0(Meteorological)	HGT
176	TMP:350 mb	Temperature [C]	0(Meteorological)	TMP
177	RH:350 mb	Relative humidity [%]	0(Meteorological)	RH
178	TCDC:350 mb	Total cloud cover [%]	0(Meteorological)	TCDC
179	VVEL:350 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
180	DZDT:350 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
181	UGRD:350 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
182	VGRD:350 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
183	ABSV:350 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
184	CLWMR:350 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
185	ICMR:350 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
186	RWMR:350 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
187	SNMR:350 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
188	GRLE:350 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
189	ICSEV:350 mb	Icing severity [-]	0(Meteorological)	ICSEV
190	O3MR:350 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
191	HGT:400 mb	Geopotential height [gpm]	0(Meteorological)	HGT
192	TMP:400 mb	Temperature [C]	0(Meteorological)	TMP
193	RH:400 mb	Relative humidity [%]	0(Meteorological)	RH
194	TCDC:400 mb	Total cloud cover [%]	0(Meteorological)	TCDC
195	VVEL:400 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
196	DZDT:400 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
197	UGRD:400 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
198	VGRD:400 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
199	ABSV:400 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
200	CLWMR:400 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
201	ICMR:400 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
202	RWMR:400 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
203	SNMR:400 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
204	GRLE:400 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
205	ICSEV:400 mb	Icing severity [-]	0(Meteorological)	ICSEV
206	O3MR:400 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
207	HGT:450 mb	Geopotential height [gpm]	0(Meteorological)	HGT
208	TMP:450 mb	Temperature [C]	0(Meteorological)	TMP
209	RH:450 mb	Relative humidity [%]	0(Meteorological)	RH
210	TCDC:450 mb	Total cloud cover [%]	0(Meteorological)	TCDC
211	VVEL:450 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
212	DZDT:450 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
213	UGRD:450 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
214	VGRD:450 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
215	ABSV:450 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
216	CLWMR:450 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
217	ICMR:450 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
218	RWMR:450 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
219	SNMR:450 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
220	GRLE:450 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
221	ICSEV:450 mb	Icing severity [-]	0(Meteorological)	ICSEV
222	HGT:500 mb	Geopotential height [gpm]	0(Meteorological)	HGT
223	TMP:500 mb	Temperature [C]	0(Meteorological)	TMP
224	RH:500 mb	Relative humidity [%]	0(Meteorological)	RH
225	TCDC:500 mb	Total cloud cover [%]	0(Meteorological)	TCDC
226	VVEL:500 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
227	DZDT:500 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
228	UGRD:500 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
229	VGRD:500 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
230	ABSV:500 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
231	CLWMR:500 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
232	ICMR:500 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
233	RWMR:500 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
234	SNMR:500 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
235	GRLE:500 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
236	ICSEV:500 mb	Icing severity [-]	0(Meteorological)	ICSEV
237	O3MR:500 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
238	HGT:550 mb	Geopotential height [gpm]	0(Meteorological)	HGT
239	TMP:550 mb	Temperature [C]	0(Meteorological)	TMP
240	RH:550 mb	Relative humidity [%]	0(Meteorological)	RH
241	TCDC:550 mb	Total cloud cover [%]	0(Meteorological)	TCDC
242	VVEL:550 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
243	DZDT:550 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
244	UGRD:550 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
245	VGRD:550 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
246	ABSV:550 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
247	CLWMR:550 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
248	ICMR:550 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
249	RWMR:550 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
250	SNMR:550 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
251	GRLE:550 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
252	ICSEV:550 mb	Icing severity [-]	0(Meteorological)	ICSEV
253	HGT:600 mb	Geopotential height [gpm]	0(Meteorological)	HGT
254	TMP:600 mb	Temperature [C]	0(Meteorological)	TMP
255	RH:600 mb	Relative humidity [%]	0(Meteorological)	RH
256	TCDC:600 mb	Total cloud cover [%]	0(Meteorological)	TCDC
257	VVEL:600 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
258	DZDT:600 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
259	UGRD:600 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
260	VGRD:600 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
261	ABSV:600 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
262	CLWMR:600 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
263	ICMR:600 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
264	RWMR:600 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
265	SNMR:600 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
266	GRLE:600 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
267	ICSEV:600 mb	Icing severity [-]	0(Meteorological)	ICSEV
268	HGT:650 mb	Geopotential height [gpm]	0(Meteorological)	HGT
269	TMP:650 mb	Temperature [C]	0(Meteorological)	TMP
270	RH:650 mb	Relative humidity [%]	0(Meteorological)	RH
271	TCDC:650 mb	Total cloud cover [%]	0(Meteorological)	TCDC
272	VVEL:650 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
273	DZDT:650 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
274	UGRD:650 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
275	VGRD:650 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
276	ABSV:650 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
277	CLWMR:650 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
278	ICMR:650 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
279	RWMR:650 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
280	SNMR:650 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
281	GRLE:650 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
282	ICSEV:650 mb	Icing severity [-]	0(Meteorological)	ICSEV
283	HGT:700 mb	Geopotential height [gpm]	0(Meteorological)	HGT
284	TMP:700 mb	Temperature [C]	0(Meteorological)	TMP
285	RH:700 mb	Relative humidity [%]	0(Meteorological)	RH
286	TCDC:700 mb	Total cloud cover [%]	0(Meteorological)	TCDC
287	VVEL:700 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
288	DZDT:700 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
289	UGRD:700 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
290	VGRD:700 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
291	ABSV:700 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
292	CLWMR:700 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
293	ICMR:700 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
294	RWMR:700 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
295	SNMR:700 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
296	GRLE:700 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
297	ICSEV:700 mb	Icing severity [-]	0(Meteorological)	ICSEV
298	O3MR:700 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
299	HGT:750 mb	Geopotential height [gpm]	0(Meteorological)	HGT
300	TMP:750 mb	Temperature [C]	0(Meteorological)	TMP
301	RH:750 mb	Relative humidity [%]	0(Meteorological)	RH
302	TCDC:750 mb	Total cloud cover [%]	0(Meteorological)	TCDC
303	VVEL:750 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
304	DZDT:750 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
305	UGRD:750 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
306	VGRD:750 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
307	ABSV:750 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
308	CLWMR:750 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
309	ICMR:750 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
310	RWMR:750 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
311	SNMR:750 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
312	GRLE:750 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
313	ICSEV:750 mb	Icing severity [-]	0(Meteorological)	ICSEV
314	HGT:800 mb	Geopotential height [gpm]	0(Meteorological)	HGT
315	TMP:800 mb	Temperature [C]	0(Meteorological)	TMP
316	RH:800 mb	Relative humidity [%]	0(Meteorological)	RH
317	TCDC:800 mb	Total cloud cover [%]	0(Meteorological)	TCDC
318	VVEL:800 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
319	DZDT:800 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
320	UGRD:800 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
321	VGRD:800 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
322	ABSV:800 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
323	CLWMR:800 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
324	ICMR:800 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
325	RWMR:800 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
326	SNMR:800 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
327	GRLE:800 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
328	ICSEV:800 mb	Icing severity [-]	0(Meteorological)	ICSEV
329	HGT:850 mb	Geopotential height [gpm]	0(Meteorological)	HGT
330	TMP:850 mb	Temperature [C]	0(Meteorological)	TMP
331	RH:850 mb	Relative humidity [%]	0(Meteorological)	RH
332	TCDC:850 mb	Total cloud cover [%]	0(Meteorological)	TCDC
333	VVEL:850 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
334	DZDT:850 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
335	UGRD:850 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
336	VGRD:850 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
337	ABSV:850 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
338	CLWMR:850 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
339	ICMR:850 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
340	RWMR:850 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
341	SNMR:850 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
342	GRLE:850 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
343	ICSEV:850 mb	Icing severity [-]	0(Meteorological)	ICSEV
344	O3MR:850 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
345	HGT:900 mb	Geopotential height [gpm]	0(Meteorological)	HGT
346	TMP:900 mb	Temperature [C]	0(Meteorological)	TMP
347	RH:900 mb	Relative humidity [%]	0(Meteorological)	RH
348	TCDC:900 mb	Total cloud cover [%]	0(Meteorological)	TCDC
349	VVEL:900 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
350	DZDT:900 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
